scenario	time	
s1	243034771	
s2	2491162	
s3	31923819	
s4	273233	
s5	344251	
s6	13671602	
s7	946227	
s1	326606	
s2	218185	
s3	209669	
s4	240836	
s5	160259	
s6	132541	
s7	22299585	
s1	290529	
s2	2115923	
s3	176922	
s4	231391	
s5	169860	
s6	176749	
s7	265521	
s1	605732	
s2	362711	
s3	251539	
s4	369911	
s5	1536763	
s6	182504	
s7	233079	
s1	295103	
s2	145162	
s3	2682144	
s4	144207	
s5	151869	
s6	177777	
s7	149002	
s1	157070	
s2	139134	
s3	165306	
s4	152863	
s5	135767	
s6	99983	
s7	90973	
s1	139294	
s2	107704	
s3	189638	
s4	144198	
s5	50434637	
s6	92617	
s7	118614	
s1	184284	
s2	141250	
s3	44145287	
s4	145604	
s5	170154	
s6	165550	
s7	2746481	
s1	49275836	
s2	211022	
s3	154735	
s4	170765	
s5	152023	
s6	49365695	
s7	250778	
s1	186876	
s2	297347	
s3	303293	
s4	50468439	
s5	149177	
s6	114430	
s7	236353	
s1	3402433	
s2	46780238	
s3	159817	
s4	166308	
s5	232328	
s6	50043494	
s7	143659	
s1	158773	
s2	169152	
s3	149259	
s4	49271478	
s5	156677	
s6	130101	
s7	142283	
s1	197045	
s2	1902398	
s3	198003	
s4	140229	
s5	265242	
s6	132381	
s7	51152859	
s1	190443	
s2	156283	
s3	180170	
s4	140426	
s5	49582715	
s6	98536	
s7	187375	
s1	193268	
s2	443111	
s3	1035303	
s4	200518	
s5	268644	
s6	45833285	
s7	258434	
s1	40286633	
s2	247998	
s3	146851	
s4	244994	
s5	2569116	
s6	141949	
s7	150152	
s1	165423	
s2	165438	
s3	142623	
s4	134695	
s5	159498	
s6	137478	
s7	51083980	
s1	153045	
s2	142081	
s3	140021	
s4	164844	
s5	49148927	
s6	134979	
s7	188191	
s1	311421	
s2	276604	
s3	50865451	
s4	250916	
s5	256865	
s6	120122	
s7	115944	
s1	50065526	
s2	228033	
s3	239630	
s4	174180	
s5	131969	
s6	50164084	
s7	173423	
s1	246300	
s2	141041	
s3	99224950	
s4	141966	
s5	136782	
s6	143651	
s7	131160	
s1	146659	
s2	48992485	
s3	338403	
s4	301882	
s5	147766	
s6	49181372	
s7	139550	
s1	195218	
s2	574368	
s3	271984	
s4	53078638	
s5	126240	
s6	92355	
s7	195211	
s1	147454	
s2	50478675	
s3	270875	
s4	255063	
s5	210141	
s6	50806738	
s7	199015	
s1	258976	
s2	255271	
s3	243092	
s4	50438137	
s5	218462	
s6	127502	
s7	293883	
s1	216571	
s2	152754	
s3	65167853	
s4	147221	
s5	131271	
s6	84471	
s7	81603578	
s1	301475	
s2	139533	
s3	281347	
s4	217345	
s5	52182159	
s6	113863	
s7	115180	
s1	175370	
s2	133444	
s3	50554621	
s4	247068	
s5	179137	
s6	112382	
s7	135299	
s1	50206236	
s2	237713	
s3	271034	
s4	134353	
s5	51531774	
s6	131212	
s7	127699	
s1	177342	
s2	214383	
s3	247805	
s4	52427650	
s5	217848	
s6	156323	
s7	184691	
