bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	
62	1	2	0	3223	1619883	2116397	261135	69169	140816	996779	39878	146788	16279	32296	113768	182026	28489	80304	32636	
124	2	2	0	442	5723270	260826	200120	71567	252274	183681	46777	110894	69577	15119	110835	62111	78853	79764	4323	
186	3	2	0	356	1156004	303411	88530	61891	116428	79174	39062	123907	31151	11846	101324	46267	23192	101497	4384	
248	4	2	0	684	899896	470635	150306	34987	234376	93315	34319	144863	35106	13409	138491	77897	46355	151775	4733	
310	5	2	0	548	965086	357113	113516	18802	157513	204511	52222	160231	45624	21344	148431	128464	47090	144768	42461	
372	6	2	0	366	1174889	451399	85809	14164	166832	132735	31074	159134	44397	16981	158348	142870	30887	157094	80518	
434	7	2	0	306	604896	393969	82949	38539	217976	81397	45883	192565	3926	9214	189727	78831	35929	186655	4044	
496	8	2	0	540	468719	363924	92313	14389	234014	132573	74699	341512	5977	15214	253870	187675	31895	256113	99608	
558	9	2	0	421	714776	482916	104581	14668	252809	194609	38460	239468	100843	9271	236636	145734	32312	301781	74282	
620	10	2	0	775	551043	454926	115438	13921	266911	161432	39934	259864	57858	10537	259054	217628	49031	318334	66422	
682	11	2	0	281	532559	626308	220481	22937	384750	199571	67022	229973	68197	12677	221740	153643	79810	382543	7982	
744	12	2	0	369	895572	560531	219206	22772	457321	400583	124016	409007	58533	14347	319914	53573	58476	252381	5120	
806	13	2	0	288	680233	609770	159422	14372	394246	52316	73651	403485	8223	19507	504505	244032	135715	540419	138495	
868	14	2	0	393	753680	687373	264870	36449	570249	852589	81538	348022	178014	15918	338659	197843	88472	297522	39585	
930	15	2	0	380	900718	1142913	178264	28644	340686	72775	74511	299740	3519	11417	298931	162455	78321	306860	105674	
992	16	2	0	515	817990	723746	178713	17086	336820	135725	72208	325572	106662	11856	320426	67855	133873	442292	7468	
1054	17	2	0	453	1466832	1411703	251590	31780	478703	88750	91253	363487	3602	10064	354368	84379	69482	345401	3104	
1116	18	2	0	11147	952428	780603	201865	19518	388510	224890	74714	498896	178609	23057	542765	281433	105366	422503	189469	
1178	19	2	0	129	1222528	831902	212089	13206	397619	82760	69512	379893	3171	11133	375115	90074	84385	378062	35945	
1240	20	2	0	72	957750	899754	239884	21416	693542	142181	83004	648512	4955	13451	567430	150715	98406	414651	3797	
1302	21	2	0	120	1359405	939868	253827	45883	814266	156781	140895	1000972	41777	18475	813540	295535	157563	704328	4011	
1364	22	2	0	150	1988435	1112889	63663	24432	741549	840723	243361	607184	394029	16066	459626	143773	92474	403471	2355	
1426	23	2	0	219	1637861	1312631	119730	22464	799047	173377	101367	446482	2888	12504	394321	158771	98273	382783	42855	
1488	24	2	0	265	1363052	1070066	131892	20928	809595	268375	142823	731917	5535	18808	704303	363419	143759	641882	85918	
1550	25	2	0	135	1676304	1510009	206578	22953	867986	358904	144505	772375	320778	34039	1064917	192563	94060	474533	45168	
1612	26	2	0	101	1082856	953897	70412	13752	468867	142425	88398	483110	3287	10781	620424	230862	92209	565610	193516	
1674	27	2	0	79	1101654	1451936	84954	25035	830738	817514	154035	777948	303574	19246	541076	345128	161575	747238	251382	
1736	28	2	0	141	1879859	1241333	75619	18034	587064	195051	118056	853801	147665	57510	759396	369214	135560	621274	187017	
1798	29	2	0	122	1656016	1006436	76489	13784	493256	136756	83029	482126	1234	7545	479807	112044	79548	483772	1259	
1860	30	2	0	143	1238457	1213339	86166	20449	606104	265761	95830	507784	90699	9822	500911	306351	91439	533992	658780	
1922	31	2	0	285	2053027	1596916	182250	16021	626952	104399	95504	535876	1175	10082	948360	492717	153686	874557	245272	
1984	32	2	0	138	1730324	1866563	127834	17868	685491	173948	108077	610722	1319	8747	602157	151888	99056	1045342	3411	
2046	33	2	0	139	2109153	1182181	87606	11993	738740	261561	104163	616086	1739	10878	584666	145956	96661	564754	1913	
2108	34	2	0	310	1690140	1137896	89788	14472	563663	213000	85919	546727	115486	8675	745973	212948	134059	607648	119920	
2170	35	2	0	185	1718038	23355269	96680	20964	1030393	201703	141520	976336	2835	13437	753935	227516	112379	585471	108501	
2232	36	2	0	210	1228994	1887189	202734	21350	926319	181315	102581	680811	1863	13381	734648	189279	95517	715023	1625	
2294	37	2	0	178	1537219	1715157	189994	20769	1212519	348526	162130	1103039	3126	13871	1042644	386067	167638	1007444	2191	
2356	38	2	0	104	1176388	1997632	197937	17789	1064721	171885	102904	1026779	2683	13241	1037804	417115	165973	1481267	207770	
2418	39	2	0	207	1224990	1459446	105209	13197	666967	161938	90691	611626	1071	9064	707880	309076	105100	801051	166529	
2480	40	2	0	168	1102745	1395730	104775	13200	794181	405023	122212	844982	269203	18629	679705	604996	156751	755374	509874	
2542	41	2	0	241	1608178	2052583	116031	15447	829308	239076	122350	703334	105781	8445	705586	261965	116960	913102	2398	
2604	42	2	0	240	1445562	1425244	172788	16159	829409	194123	111157	633541	1475	9962	621686	316214	103133	569638	165199	
2666	43	2	0	78	1645642	1381031	124547	14822	830258	223876	138093	701721	1839	11357	606051	321061	109317	594692	113291	
2728	44	2	0	159	1273129	2161869	218803	34241	848389	510419	121738	1116736	380314	19526	529037	514166	118827	484757	347990	
2790	45	2	0	231	1270365	1404382	120437	13662	502097	215166	223199	563486	1903	14983	670174	368436	123524	480309	170095	
2852	46	2	0	94	1530551	1363518	123231	16351	504224	254774	118102	683686	65967	12589	557575	143921	131308	474190	1605	
2914	47	2	0	73	1970828	1910639	124581	14322	539956	72917	125180	459854	1081	6886	448510	67758	120804	538874	1700	
2976	48	2	0	101	1367558	1578646	128747	13954	704067	146789	197231	824650	3116	13387	704943	76189	120580	1025368	3208	
3038	49	2	0	245	2137758	2803790	232428	25905	666754	111460	129210	504800	41465	9665	472771	110756	103280	485761	42343	
3100	50	2	0	78	1372390	1791500	272140	20305	961969	84010	125854	632806	1252	9457	593779	69902	106236	591226	1037	
3162	51	2	0	77	1394263	1585520	300403	22175	1079746	115001	139361	675689	1347	13347	614851	180839	107106	617097	224090	
3224	52	2	0	166	1422725	1722972	147225	32437	813380	105551	131278	1041505	3257	28498	1318416	406839	156980	747208	173305	
3286	53	2	0	144	1541426	2526754	301546	19808	1280472	262887	220509	1135544	77617	19455	1085735	364098	160573	760226	125763	
3348	54	2	0	120	1453624	1677936	144844	15031	836117	95991	139843	1053093	2986	21229	1320725	143804	226994	707465	2031	
3410	55	2	0	77	1515728	1564537	232816	19770	849563	87483	129862	650997	1135	6990	623361	118741	93277	1060990	3763	
3472	56	2	0	248	2158800	1940964	322482	20439	1094905	784347	210632	886411	365635	13328	666517	265421	132962	661065	105946	
3534	57	2	0	77	1515061	1824179	191026	23032	965358	437708	170455	739199	219117	15641	699638	467631	134415	689063	292654	
3596	58	2	0	88	2359980	3032997	259218	20514	911614	312939	151019	730475	114576	13466	730212	900928	232221	1315629	392139	
3658	59	2	0	133	1679743	2371070	58316	18816	850926	455510	225574	1403753	534591	27646	1244850	405007	226272	1021799	2347	
3720	60	2	0	118	1883760	2695719	57580	17627	1264762	552735	253645	1355901	95682	23425	1161528	241621	243743	1207001	97786	
3782	61	2	0	204	2768876	4543320	88213	69481	1427811	225320	248313	1043401	69973	14727	1091106	129583	209863	1083043	2031	
3844	62	2	0	165	1887760	2137641	105010	25875	1552583	361194	251803	1106726	194834	28896	950896	90580	187396	1123679	2265	
