bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	dam_updated_5	deployment_change_planned_5	deployment_change_excuted_5	dam_updated_6	deployment_change_planned_6	deployment_change_excuted_6	dam_updated_7	deployment_change_planned_7	deployment_change_excuted_7	dam_updated_8	deployment_change_planned_8	deployment_change_excuted_8	dam_updated_9	deployment_change_planned_9	deployment_change_excuted_9	dam_updated_10	deployment_change_planned_10	deployment_change_excuted_10	
62	1	2	0	2760	1691266	2064650	253588	76556	247485	1144134	52521	83514	29740	32203	79246	66344	31463	84674	23712	18444	110832	74801	41538	87833	6277	26078	128066	58178	28936	69811	4892	11404	89017	33695	52956	57787	4281	
124	2	2	0	444	5752724	430125	100557	44920	270221	48943	46745	163340	6190	31804	133886	68115	34862	114525	39536	29719	143901	50916	49803	117947	22022	18029	167147	71755	100804	187255	7673	28583	209271	87580	69655	271167	37775	
186	3	2	0	629	877439	457428	111579	45988	248608	81032	107048	432453	9523	25963	344758	128597	68826	182404	51322	23483	234748	154790	55898	174194	98606	38339	173340	188474	30109	183189	98423	15849	195911	50406	25931	245472	85273	
248	4	2	0	669	978491	435587	47021	20093	239194	72139	25826	288126	48937	16359	259136	77751	81197	233020	5261	13480	218708	116550	30562	156973	3873	8869	192105	174087	31616	217672	5287	13318	262002	140233	35852	263879	34874	
310	5	2	0	400	660593	388392	88827	19837	292163	104452	31489	242943	5051	24954	274135	112738	45976	256511	5141	14945	272928	113723	48535	289015	14364	19010	341357	272672	46198	250514	141453	16109	358408	97727	35938	148070	38589	
372	6	2	0	322	728833	327745	68088	13060	338178	123183	60057	284000	6038	21891	268934	135940	44443	270929	73993	20908	288858	343780	65803	258628	138200	18992	287138	355464	65559	256492	146676	13174	283850	133462	62177	161419	4153	
434	7	2	0	301	740227	406675	77721	16055	234128	65417	34549	185968	16392	12244	280026	34402	51425	357817	6258	17146	237621	27636	34756	277440	6380	14553	349217	56066	29159	193470	4010	10528	202423	26671	29973	186449	3508	
496	8	2	0	239	479901	523521	86301	13100	281288	49227	35126	191279	19804	20044	289869	201773	44063	354551	173289	30083	280064	44421	29937	244671	22683	10244	303401	54647	66824	305575	5296	16555	310654	89372	67610	265844	19405	
558	9	2	0	433	751169	660708	162836	18027	413444	66122	66434	333297	5289	18021	796093	123781	40321	233190	33409	15464	265773	63638	46670	215942	32626	9333	417164	60589	68624	326711	5428	21263	464437	126426	68959	250688	34161	
620	10	2	0	264	483282	700528	151028	19500	394598	74902	75454	380508	5966	19916	461077	166535	70108	296104	54643	11118	202414	47017	59687	209597	3862	8920	205148	36847	63628	333650	6673	20753	301774	77986	55190	221565	38967	
682	11	2	0	267	605628	540921	136325	12822	307936	42384	64569	246974	4084	11763	287472	43180	87440	553246	8922	18880	299084	68275	75813	240954	26230	18314	259184	179057	55113	243879	100757	16560	263532	75070	54267	266899	74302	
744	12	2	0	590	730671	573389	42027	18144	352395	78765	79492	290288	76237	416878	551493	210124	111021	575268	106683	22205	441676	88110	101157	385299	2716	9471	224473	53316	45777	268695	1845	11362	313613	63810	72442	262364	25523	
806	13	2	0	9225	1118645	767773	42047	22110	361666	103902	61147	282365	46308	12327	289169	62331	67398	267597	25803	12208	453569	202212	111439	283912	61008	10195	296511	41868	63016	390624	2416	15347	403270	64911	60596	303682	24105	
868	14	2	0	222	1181531	688426	41486	29091	422160	72954	135003	689660	4533	32473	568696	226304	95793	468319	123426	14418	515471	97052	122993	507178	2934	14507	538973	90750	96020	472087	2585	55050	338389	53671	73852	309560	1569	
930	15	2	0	124	908931	883722	64965	15002	342008	69212	103541	617210	89441	20407	406187	149043	83321	302848	47474	9057	326526	76025	77127	293009	25841	8411	299704	45217	57877	402484	3021	18107	389660	122732	58535	300658	26017	
992	16	2	0	79	871956	616604	69810	12264	586818	128241	80909	373250	1707	10427	383606	49854	61621	375200	1630	8653	590977	121841	114186	376866	2297	12847	376718	73612	57615	329522	28159	9686	635155	136901	223564	1013844	4183	
