size	variability	time
0	1	0.040699
31	1	0.253597
62	1	0.71789
93	1	14.269516
124	1	2.311471
155	1	3.639153
186	1	5.562928
217	1	7.125908
248	1	8.880387
279	1	11.929447
310	1	14.508914
341	1	17.962972
372	1	20.387841
403	1	25.34138
434	1	29.132835
465	1	35.132163
496	1	38.678522
527	1	45.71194
558	1	51.440876
589	1	57.390413
620	1	64.632138
651	1	74.410035
682	1	77.054516
713	1	83.631261
744	1	91.650894
775	1	98.204045
806	1	109.944246
837	1	119.720781
868	1	128.749629
899	1	139.715074
930	1	160.347529
961	1	163.782273
992	1	176.459729
1023	1	192.738979
1054	1	200.911105
1085	1	216.450699
1116	1	223.480263
1147	1	243.410871
1178	1	255.908135
1209	1	299.560976
1240	1	280.12864
1271	1	294.324156
1302	1	304.32942
1333	1	345.191128
1364	1	337.915472
1395	1	374.863172
1426	1	362.24774
1457	1	387.799408
1488	1	402.371415
1519	1	409.442021
1550	1	431.621693
1581	1	458.567016
1612	1	474.52035
1643	1	500.196559
1674	1	545.180016
1705	1	557.734854
1736	1	565.485964
1767	1	595.701884
1798	1	609.394586
1829	1	636.611356
1860	1	650.616116
1891	1	699.086205
1922	1	712.385321
1953	1	729.530313
1984	1	752.518204
2015	1	779.046973
2046	1	817.919162
2077	1	836.255366
2108	1	858.731454
2139	1	891.108132
2170	1	918.085243
2201	1	931.813617
2232	1	995.645278
2263	1	993.393957
2294	1	1024.49771
2325	1	1053.765934
2356	1	1078.540874
2387	1	1108.985243
2418	1	1163.118165
2449	1	1173.431581
2480	1	1208.206671
2511	1	1226.866971
2542	1	1264.944441
2573	1	1333.139177
2604	1	1316.094045
2635	1	1356.479769
2666	1	1386.402414
2697	1	1419.030825
2728	1	1430.014941
2759	1	1474.690455
2790	1	1520.207187
2821	1	1538.565059
2852	1	1566.299275
2883	1	1625.297862
2914	1	1621.466558
2945	1	1672.045785
2976	1	1696.423454
3007	1	1733.448073
3038	1	1768.576406
3069	1	1817.775919
3100	1	1917.363487
0	1	0.031698
31	1	0.280087
62	1	0.715967
93	1	1.436833
124	1	2.329492
155	1	3.701228
186	1	5.17326
217	1	7.155468
248	1	11.097786
279	1	11.883749
310	1	14.617124
341	1	17.157006
372	1	21.24372
403	1	31.184861
434	1	29.080662
465	1	33.934943
496	1	40.176261
527	1	46.290493
558	1	50.478408
589	1	56.002771
620	1	63.491349
651	1	76.061903
682	1	76.286221
713	1	85.127649
744	1	94.06079
775	1	99.510687
806	1	109.539205
837	1	122.014522
868	1	132.029264
899	1	141.833521
930	1	153.076443
961	1	180.584522
992	1	173.190531
1023	1	187.537073
1054	1	203.709199
1085	1	211.763629
1116	1	234.101064
1147	1	253.144976
1178	1	257.667229
1209	1	261.816398
1240	1	287.619173
1271	1	290.745828
1302	1	306.875902
1333	1	325.34473
1364	1	340.526093
1395	1	351.173438
1426	1	368.167132
1457	1	377.697666
1488	1	410.599649
1519	1	417.662823
1550	1	430.873592
1581	1	453.966269
1612	1	477.438017
1643	1	504.321666
1674	1	588.478813
1705	1	544.92978
1736	1	584.433304
1767	1	593.27618
1798	1	617.482472
1829	1	632.301732
1860	1	682.739138
1891	1	680.274994
1922	1	737.551797
1953	1	726.898647
1984	1	760.127966
2015	1	788.01149
2046	1	824.964821
2077	1	838.977401
2108	1	851.48129
2139	1	905.764241
2170	1	926.712582
2201	1	955.129143
2232	1	964.465993
2263	1	1014.222952
2294	1	1019.708991
2325	1	1057.652169
2356	1	1086.541626
2387	1	1170.606352
2418	1	1125.464935
2449	1	1181.611316
2480	1	1193.655654
2511	1	1259.179166
2542	1	1246.128735
2573	1	1286.612718
2604	1	1319.996227
2635	1	1351.284102
2666	1	1412.29273
2697	1	1418.028676
2728	1	1434.118615
2759	1	1565.725285
2790	1	1499.561767
2821	1	1536.613326
2852	1	1563.390128
2883	1	1589.674296
2914	1	1666.891521
2945	1	1715.62841
2976	1	1700.659377
3007	1	1732.254047
3038	1	1762.509019
3069	1	1793.605964
3100	1	1850.478444
0	1	0.031699
31	1	0.260895
62	1	0.680685
93	1	1.404568
124	1	2.427946
155	1	3.518721
186	1	5.105286
217	1	7.061743
248	1	9.243793
279	1	11.388445
310	1	14.169884
341	1	16.981022
372	1	20.804738
403	1	24.872348
434	1	30.592523
465	1	34.139247
496	1	39.526231
527	1	45.707898
558	1	50.921589
589	1	58.208139
620	1	62.739249
651	1	68.738128
682	1	78.027539
713	1	83.026148
744	1	90.41931
775	1	100.681514
806	1	110.940523
837	1	120.134064
868	1	129.998696
899	1	144.194147
930	1	155.176977
961	1	162.663781
992	1	176.057287
1023	1	187.566435
1054	1	201.370951
1085	1	212.292639
1116	1	217.719229
1147	1	244.746758
1178	1	250.251473
1209	1	268.921197
1240	1	280.361243
1271	1	296.613236
1302	1	309.828989
1333	1	326.29162
1364	1	333.625785
1395	1	359.794135
1426	1	370.873786
1457	1	380.386292
1488	1	402.252358
1519	1	422.681276
1550	1	435.304594
1581	1	454.821577
1612	1	483.467097
1643	1	501.813449
1674	1	527.510871
1705	1	553.497723
1736	1	559.266533
1767	1	588.801216
1798	1	606.895304
1829	1	636.641958
1860	1	661.448668
1891	1	677.350736
1922	1	712.321882
1953	1	759.237137
1984	1	761.1717
2015	1	784.182242
2046	1	822.286012
2077	1	859.305706
2108	1	870.75091
2139	1	883.428519
2170	1	912.951463
2201	1	933.477199
2232	1	972.367601
2263	1	1006.898609
2294	1	1050.434474
2325	1	1070.154249
2356	1	1100.462178
2387	1	1124.615378
2418	1	1147.536673
2449	1	1165.912635
2480	1	1197.67868
2511	1	1241.958912
2542	1	1231.212149
2573	1	1320.723519
2604	1	1321.47392
2635	1	1356.419381
2666	1	1387.009802
2697	1	1408.774738
2728	1	1454.027372
2759	1	1472.465558
2790	1	1510.444914
2821	1	1534.262426
2852	1	1571.330556
2883	1	1611.072704
2914	1	1646.533401
2945	1	1685.201022
2976	1	1718.63088
3007	1	1736.699767
3038	1	1751.163675
3069	1	1801.550809
3100	1	1880.269007
0	1	0.0322
31	1	0.245598
62	1	0.688694
93	1	1.32169
124	1	2.281283
155	1	3.710873
186	1	5.275861
217	1	7.185446
248	1	9.655229
279	1	11.309717
310	1	14.200296
341	1	17.154773
372	1	20.176452
403	1	25.352514
434	1	28.76959
465	1	34.944945
496	1	38.905018
527	1	44.633479
558	1	52.515225
589	1	56.534299
620	1	63.400555
651	1	83.24252
682	1	79.301755
713	1	83.52183
744	1	91.135586
775	1	99.892637
806	1	118.828425
837	1	118.422638
868	1	131.379872
899	1	140.623932
930	1	152.152082
961	1	167.072316
992	1	177.46198
1023	1	184.451971
1054	1	198.090628
1085	1	222.656037
1116	1	228.32485
1147	1	247.232104
1178	1	254.883517
1209	1	265.879027
1240	1	275.289844
1271	1	304.558893
1302	1	310.812242
1333	1	319.845186
1364	1	332.814819
1395	1	351.205348
1426	1	370.460589
1457	1	381.22986
1488	1	397.897029
1519	1	413.095107
1550	1	432.33669
1581	1	449.768388
1612	1	480.662484
1643	1	489.683321
1674	1	524.38035
1705	1	551.272204
1736	1	565.395071
1767	1	592.794849
1798	1	631.402059
1829	1	635.204855
1860	1	657.376974
1891	1	688.470422
1922	1	733.048112
1953	1	738.968441
1984	1	752.272088
2015	1	778.524476
2046	1	803.737471
2077	1	846.636037
2108	1	855.8807
2139	1	880.578921
2170	1	907.416257
2201	1	928.240077
2232	1	972.73831
2263	1	1008.334613
2294	1	1019.748901
2325	1	1055.958518
2356	1	1117.089179
2387	1	1115.666696
2418	1	1128.509189
2449	1	1193.794898
2480	1	1192.817003
2511	1	1265.999677
2542	1	1258.78463
2573	1	1283.004784
2604	1	1321.820836
2635	1	1343.299864
2666	1	1374.530458
2697	1	1408.153965
2728	1	1434.319315
2759	1	1468.371619
2790	1	1494.410859
2821	1	1551.870833
2852	1	1566.434774
2883	1	1559.54224
2914	1	1633.588637
2945	1	1655.317017
2976	1	1696.958851
3007	1	1741.642806
3038	1	1774.875564
3069	1	1816.67602
3100	1	1860.942513
0	1	0.0318
31	1	0.251199
62	1	0.728398
93	1	1.366996
124	1	2.330694
155	1	3.58859
186	1	6.83398
217	1	6.949479
248	1	9.014974
279	1	13.235262
310	1	14.599058
341	1	17.302749
372	1	22.149336
403	1	24.673329
434	1	29.474015
465	1	35.101499
496	1	39.559188
527	1	44.504375
558	1	50.40756
589	1	58.600438
620	1	64.356825
651	1	71.306608
682	1	75.669701
713	1	85.444777
744	1	90.814868
775	1	100.922748
806	1	108.856036
837	1	120.164714
868	1	132.281796
899	1	141.414985
930	1	152.513973
961	1	162.513364
992	1	177.490347
1023	1	187.819045
1054	1	197.020847
1085	1	213.83444
1116	1	228.921038
1147	1	241.149648
1178	1	258.651253
1209	1	271.497467
1240	1	276.570497
1271	1	293.103317
1302	1	305.415347
1333	1	320.809878
1364	1	339.515414
1395	1	350.086359
1426	1	366.180107
1457	1	387.034861
1488	1	395.91992
1519	1	413.104287
1550	1	434.77086
1581	1	454.681342
1612	1	482.635136
1643	1	498.488531
1674	1	514.160535
1705	1	543.402456
1736	1	588.675413
1767	1	589.991217
1798	1	604.335543
1829	1	635.229606
1860	1	658.788364
1891	1	685.446937
1922	1	715.539224
1953	1	734.082393
1984	1	753.98777
2015	1	818.273781
2046	1	826.606639
2077	1	840.970114
2108	1	858.592104
2139	1	881.552213
2170	1	923.695596
2201	1	938.164083
2232	1	989.422615
2263	1	1040.512259
2294	1	1008.317457
2325	1	1055.75559
2356	1	1087.039056
2387	1	1115.401612
2418	1	1142.644062
2449	1	1176.965948
2480	1	1200.01318
2511	1	1240.413297
2542	1	1278.739804
2573	1	1304.98645
2604	1	1355.650822
2635	1	1359.069543
2666	1	1376.691738
2697	1	1421.388375
2728	1	1534.992494
2759	1	1490.215034
2790	1	1503.303489
2821	1	1544.5768
