bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	dam_updated_5	deployment_change_planned_5	deployment_change_excuted_5	dam_updated_6	deployment_change_planned_6	deployment_change_excuted_6	dam_updated_7	deployment_change_planned_7	deployment_change_excuted_7	dam_updated_8	deployment_change_planned_8	deployment_change_excuted_8	dam_updated_9	deployment_change_planned_9	deployment_change_excuted_9	dam_updated_10	deployment_change_planned_10	deployment_change_excuted_10	
62	1	1	0	115	86348	38573	2742	26706	131706	5580	3481	17603	405	1339	35073	2312	1758	12264	342	1329	23650	2125	1814	27490	1320	2847	35954	2629	1910	12638	400	1394	28259	2466	1952	11535	360	
62	1	2	0	96	24577	26460	2222	1539	26968	1816	1688	8524	268	661	16966	1354	832	6899	155	81208	51551	1503	13277	8667	455	25602	22728	1879	3739	7158	364	1496	15505	1515	2526	5892	385	
62	1	3	0	82	17045	20759	1660	2642	33978	3092	40674	21111	1086	3956	47402	2776	6582	12130	630	2462	28913	1746	3216	7649	281	1484	24452	2486	3854	9828	366	1651	25263	2714	3264	7133	385	
62	1	4	0	77	19916	22051	1651	2413	27046	2539	4098	7310	318	1626	33833	2876	6557	8452	335	17306	55358	16849	15255	15770	714	2958	72304	2785	6161	29920	477	3509	69187	3026	3651	9200	313	
62	1	5	0	77	18074	22183	1647	2429	68171	1629	3851	8228	265	1256	51527	1562	2724	7030	242	1360	39959	12292	5907	14613	406	2226	40427	2123	5508	10930	393	2312	47949	2202	4128	8804	363	
62	1	6	0	75	16938	21117	1806	2466	30790	2643	3613	7479	311	1564	23666	2331	3689	8227	346	1493	23524	2370	3335	7320	260	1315	23845	2523	3159	6343	288	1308	23361	2309	3774	9695	309	
62	1	7	0	62	15968	20177	1514	2050	25979	2527	4120	7245	297	1352	22964	2326	4376	7592	284	1420	21908	2299	72408	21019	6635	6127	68857	1929	3204	7706	324	1363	60730	1572	2844	6688	269	
62	1	8	0	79	16458	19928	1559	1937	95104	2845	5114	12059	589	2693	51199	3459	7139	15316	642	3812	45345	2926	5048	12954	586	3110	31745	2683	4357	12388	638	2944	31192	2811	4391	12468	662	
62	1	9	0	94	28048	32468	2793	4453	33966	2833	5420	12338	541	2945	35415	2933	4586	11983	531	2796	70732	3560	7056	15698	809	3459	48825	3072	6035	13704	631	3077	67441	43749	21887	18234	861	
62	1	10	0	93	20465	23527	1684	14720	59336	2745	5761	12619	523	2743	63115	3026	6663	14664	567	3143	30768	2460	3704	12049	451	2206	56530	2430	6595	11560	475	2295	60489	3085	5751	14306	618	
124	2	1	0	74	99800	110919	3017	4874	95588	2916	6200	71334	747	4600	42858	2590	8477	52566	1061	5826	53724	4796	5120	38287	870	4207	49205	4046	7260	37285	667	3660	44906	4351	3570	34838	685	
124	2	2	0	109	54171	79165	2767	4065	69217	4591	8670	43504	829	4313	63109	2829	5391	80631	565	3507	76656	4692	5744	42652	942	4441	54253	21322	7036	92938	961	4877	69872	4687	6544	38731	742	
124	2	3	0	95	56988	83341	4479	5502	70203	2862	6978	27135	492	2995	35036	2357	2677	25122	703	3711	58382	2514	17154	46592	981	19176	104862	4793	7596	39793	800	3963	43173	4410	5687	36335	897	
124	2	4	0	98	66301	107085	4505	5387	49709	4330	6700	105641	857	5164	55550	2808	4333	53584	484	3295	62775	2426	13877	77040	869	4970	49662	3946	6179	41419	821	4721	104993	5072	17014	38453	1023	
124	2	5	0	104	66094	80043	4302	26656	62011	4327	7609	57308	874	14617	53500	4353	8235	34217	595	22013	56828	3484	3366	33612	547	2912	54495	4736	4328	33687	446	3331	41281	22270	11449	83446	830	
