bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	
80	1	1	0	4538	3024791	4263980	598761	111836	317396	1457818	62114	207020	10091	20161	143926	117011	16626	114535	6887	
80	1	2	0	1273	559798	305003	71747	26319	123603	107620	21625	116815	7446	37091	114840	4981	38987	98737	4607	
80	1	3	0	591	1156269	288016	57067	36442	131936	695412	63781	175033	50617	57601	124808	47737	70743	124989	29955	
80	1	4	0	645	1374069	539424	81673	108641	125740	74428	147207	140924	33161	114067	105244	132265	151146	114799	88099	
80	1	5	0	740	2576728	924531	55575	151612	116295	127937	119913	109670	91435	62770	102617	65294	227608	115437	71486	
80	1	6	0	598	606746	172026	52506	66543	82375	44853	48841	70549	41740	49948	73539	40598	605479	403706	58748	
80	1	7	0	662	502798	157654	28485	82183	90109	78897	74466	82591	77453	47013	75258	41669	45178	72266	45767	
80	1	8	0	619	577424	170591	32200	112590	3215068	45077	50359	63769	1422303	65556	100082	34844	47187	79684	29427	
80	1	9	0	353	453272	114779	24191	39297	75408	119526	43010	73363	101356	43039	76554	78831	42615	72144	96902	
80	1	10	0	414	973178	121076	29085	64468	60919	4477	29242	55475	3928	64198	71817	67314	682727	81895	59651	
160	2	1	0	305	16716719	791318	51608	23544	134234	83458	14389	114581	5273	13482	113335	50246	15186	102567	5331	
160	2	2	0	444	463864	216290	48342	15263	120000	60675	28322	127214	5348	13103	116446	78318	16806	110222	33664	
160	2	3	0	401	433872	251124	49185	17507	95581	98924	30337	92962	33068	22826	96082	115538	38931	91856	61110	
160	2	4	0	345	431195	246207	40259	19515	103247	62453	54777	85322	4925	22387	84461	29507	45559	82561	14645	
160	2	5	0	363	604713	202787	46887	77271	108284	57075	58356	99581	61287	42316	98919	42809	40772	90442	34603	
160	2	6	0	548	565239	206366	41206	76177	110532	106532	87252	114016	93827	55743	100592	72227	71224	99763	75982	
160	2	7	0	537	528163	221986	50613	98954	107981	40209	82314	95009	32606	62597	100306	54804	62398	95930	55978	
160	2	8	0	315	563323	209651	44119	75708	118696	58326	95501	107446	80091	71226	101755	45969	70022	115813	65047	
160	2	9	0	408	2267353	234463	53439	104375	120689	74772	103070	111892	71545	93444	101554	58382	91731	110139	39397	
160	2	10	0	482	758691	225467	49671	114320	112965	68672	103759	105485	38833	120963	101614	46341	114059	122911	52946	
240	3	1	0	387	285506	265303	70886	33928	133937	25366	12634	110461	3588	8816	123561	28277	15381	117363	3632	
